,XMEAS1,XMEAS2,XMEAS3,XMEAS4,XMEAS5,XMEAS6,XMEAS7,XMEAS8,XMEAS9,XMEAS10,XMEAS11,XMEAS12,XMEAS13,XMEAS14,XMEAS15,XMEAS16,XMEAS17,XMEAS18,XMEAS19,XMEAS20,XMEAS21,XMEAS22,XMEAS23,XMEAS24,XMEAS25,XMEAS26,XMEAS27,XMEAS28,XMEAS29,XMEAS30,XMEAS31,XMEAS32,XMEAS33,XMEAS34,XMEAS35,XMEAS36,XMEAS37,XMEAS38,XMEAS39,XMEAS40,XMEAS41
13,0.25313,3613.3,4516.6,9.3129,27.166,42.035,2706.1,75.236,120.41,0.32053,80.108,50.703,2634.6,26.848,50.502,3102.5,22.69,65.717,228.18,341.83,94.681,76.817,32.12,8.8421,26.189,6.9027,18.578,1.6506,33.293,13.914,23.769,1.0653,18.608,2.2513,4.926,2.291,0.025131,0.85294,0.079424,54.779,43.54
14,0.26181,3680.1,4533.3,9.2193,26.976,42.695,2704.1,75.226,120.39,0.34475,79.913,48.418,2632.5,26.641,50.203,3102.0,22.897,65.666,228.28,341.54,94.652,77.313,32.171,8.8462,26.691,6.8908,18.723,1.6192,33.31,13.765,24.097,1.3113,18.659,2.2532,4.9063,2.2609,0.025131,0.85294,0.079424,54.779,43.54
15,0.26394,3677.3,4594.4,9.3534,27.104,42.559,2707.0,75.548,120.4,0.34581,80.204,50.647,2635.8,24.57,48.408,3103.4,23.807,65.628,228.11,341.84,94.65,77.54,32.171,8.8462,26.691,6.8908,18.723,1.6192,33.31,13.765,24.097,1.3113,18.659,2.2532,4.9063,2.2609,0.039653,0.82004,0.10425,53.57,43.576
16,0.25752,3651.5,4530.2,9.359,27.013,41.984,2706.4,75.709,120.41,0.33376,80.162,49.484,2634.5,26.416,49.583,3103.5,23.541,65.687,230.41,341.55,94.591,77.122,32.319,9.0095,26.316,6.7096,19.113,1.6008,33.067,13.651,23.561,1.1913,18.487,2.2259,4.7967,2.3826,0.039653,0.82004,0.10425,53.57,43.576
17,0.25817,3638.7,4558.3,9.302,26.952,42.59,2704.0,75.401,120.41,0.33202,79.921,50.177,2632.8,24.196,50.777,3100.0,22.444,65.678,230.52,341.62,94.578,77.061,32.319,9.0095,26.316,6.7096,19.113,1.6008,33.067,13.651,23.561,1.1913,18.487,2.2259,4.7967,2.3826,0.039653,0.82004,0.10425,53.57,43.576
18,0.24379,3692.5,4442.2,9.313,27.025,42.276,2704.2,74.608,120.39,0.31275,80.004,50.822,2632.6,25.243,51.304,3100.9,23.389,65.686,231.91,341.65,94.626,77.443,32.498,8.8101,26.155,7.0124,18.795,1.689,33.146,13.978,23.87,1.4259,18.692,2.2868,4.9407,2.3124,0.039653,0.82004,0.10425,53.57,43.576
19,0.2443,3733.1,4484.1,9.3035,27.062,42.518,2702.6,75.331,120.42,0.31536,80.12,51.452,2631.0,25.175,48.771,3100.4,23.189,65.696,231.07,341.04,94.489,77.067,32.498,8.8101,26.155,7.0124,18.795,1.689,33.146,13.978,23.87,1.4259,18.692,2.2868,4.9407,2.3124,0.039653,0.82004,0.10425,53.57,43.576
20,0.22466,3633.3,4491.1,9.3623,26.952,42.217,2697.9,75.483,120.39,0.35467,79.763,49.961,2625.4,24.48,49.677,3095.5,22.655,65.685,229.69,341.2,94.651,76.827,32.156,9.0032,26.46,6.8617,18.541,1.6467,33.211,14.103,23.892,1.264,18.575,2.2552,4.8987,2.291,0.0080341,0.8504,0.098279,53.688,44.51
21,0.224,3618.7,4542.0,9.3632,26.921,42.461,2696.9,74.385,120.34,0.35305,79.74,50.576,2625.1,25.746,50.18,3092.5,23.971,65.587,228.23,341.38,94.895,77.274,32.156,9.0032,26.46,6.8617,18.541,1.6467,33.211,14.103,23.892,1.264,18.575,2.2552,4.8987,2.291,0.0080341,0.8504,0.098279,53.688,44.51
22,0.25425,3679.2,4545.1,9.372,26.796,42.069,2699.4,74.918,120.43,0.37162,80.108,50.673,2627.8,24.368,49.821,3096.8,23.275,65.614,228.16,340.83,94.616,77.578,32.299,8.9177,26.407,6.9754,18.187,1.6325,33.283,13.853,24.139,1.2662,19.246,2.2597,4.8468,2.2454,0.0080341,0.8504,0.098279,53.688,44.51
23,0.25283,3663.2,4550.6,9.2483,27.059,42.482,2702.1,75.38,120.38,0.36703,80.407,49.808,2630.4,25.1,48.411,3098.9,22.855,65.676,229.84,340.71,94.651,77.92,32.299,8.9177,26.407,6.9754,18.187,1.6325,33.283,13.853,24.139,1.2662,19.246,2.2597,4.8468,2.2454,0.0080341,0.8504,0.098279,53.688,44.51
24,0.23927,3655.4,4556.5,9.4131,26.803,42.445,2702.4,76.111,120.44,0.33859,80.473,50.057,2631.2,26.418,49.086,3100.9,23.522,65.766,226.63,340.5,94.622,77.466,32.038,8.8282,25.838,6.9819,19.078,1.6552,33.059,13.888,23.511,1.2242,18.573,2.2281,4.919,2.2559,0.0080341,0.8504,0.098279,53.688,44.51
25,0.24152,3643.4,4577.2,9.3417,27.002,42.238,2703.1,75.938,120.37,0.34,80.488,49.56,2631.2,25.226,49.725,3100.8,22.35,65.79,227.59,340.71,94.62,77.359,32.038,8.8282,25.838,6.9819,19.078,1.6552,33.059,13.888,23.511,1.2242,18.573,2.2281,4.919,2.2559,0.022059,0.83564,0.10766,54.126,44.359
26,0.26503,3649.6,4509.6,9.3494,26.565,42.228,2700.6,75.784,120.39,0.34279,80.192,51.023,2628.7,25.068,50.505,3098.9,21.736,65.794,230.46,340.3,94.738,77.139,32.302,8.9206,26.692,6.9726,18.556,1.6516,33.061,13.932,23.53,1.322,19.014,2.2525,4.9553,2.3352,0.022059,0.83564,0.10766,54.126,44.359
27,0.26624,3627.9,4475.4,9.362,26.638,42.203,2699.9,74.602,120.36,0.34229,79.998,50.02,2628.5,27.124,49.197,3097.8,22.774,65.753,230.37,340.56,94.801,76.848,32.302,8.9206,26.692,6.9726,18.556,1.6516,33.061,13.932,23.53,1.322,19.014,2.2525,4.9553,2.3352,0.022059,0.83564,0.10766,54.126,44.359
28,0.23806,3634.9,4521.8,9.3344,26.86,42.355,2700.8,75.338,120.41,0.34734,79.963,48.046,2629.8,22.288,49.231,3097.5,23.769,65.662,231.08,341.41,94.818,77.531,31.78,8.8893,25.93,6.8261,19.205,1.6581,32.657,13.858,23.369,1.1676,18.431,2.2844,4.8734,2.3245,0.022059,0.83564,0.10766,54.126,44.359
29,0.2412,3625.4,4551.2,9.2969,27.006,42.085,2701.6,74.313,120.41,0.35518,80.135,49.479,2629.8,25.481,50.864,3100.1,23.55,65.68,230.85,340.51,94.704,77.64,31.78,8.8893,25.93,6.8261,19.205,1.6581,32.657,13.858,23.369,1.1676,18.431,2.2844,4.8734,2.3245,0.022059,0.83564,0.10766,54.126,44.359
30,0.29352,3658.8,4494.3,9.1811,26.974,42.802,2704.9,75.597,120.4,0.33969,80.3,50.589,2633.6,25.946,49.85,3101.9,22.703,65.759,231.62,340.93,94.498,77.123,31.919,9.108,26.19,6.6915,19.198,1.67,33.007,13.756,23.886,1.4017,18.428,2.2485,4.8675,2.2006,0.017809,0.85759,0.1032,53.978,43.838
31,0.29127,3667.3,4490.0,9.332,27.248,42.94,2704.5,74.889,120.41,0.34679,80.225,49.822,2632.3,24.572,49.499,3102.9,22.865,65.773,229.4,340.95,94.642,77.605,31.919,9.108,26.19,6.6915,19.198,1.67,33.007,13.756,23.886,1.4017,18.428,2.2485,4.8675,2.2006,0.017809,0.85759,0.1032,53.978,43.838
32,0.28275,3709.8,4485.5,9.4736,26.895,42.428,2706.7,74.754,120.45,0.332,80.483,50.028,2635.4,24.041,50.295,3104.0,24.03,65.813,231.37,341.19,94.31,77.966,31.986,9.0027,26.068,6.8715,18.853,1.6583,32.662,13.849,23.952,1.3163,18.654,2.2634,4.913,2.2205,0.017809,0.85759,0.1032,53.978,43.838
33,0.28321,3721.4,4483.2,9.3933,26.739,42.16,2705.5,75.651,120.41,0.33335,80.591,49.374,2635.4,25.349,50.428,3104.7,22.737,65.909,228.38,341.34,94.429,77.451,31.986,9.0027,26.068,6.8715,18.853,1.6583,32.662,13.849,23.952,1.3163,18.654,2.2634,4.913,2.2205,0.017809,0.85759,0.1032,53.978,43.838
34,0.27854,3639.2,4474.3,9.4247,26.543,42.21,2702.2,75.378,120.43,0.34277,80.178,48.445,2630.5,26.258,50.549,3100.1,22.75,65.9,230.2,341.68,94.349,76.742,31.847,8.9321,26.355,6.8634,18.673,1.6527,32.676,13.972,24.186,1.2261,18.71,2.2751,4.8051,2.2988,0.017809,0.85759,0.1032,53.978,43.838
35,0.27873,3642.8,4557.7,9.28,26.607,42.424,2698.1,74.767,120.4,0.34081,79.749,48.079,2626.9,24.615,50.454,3095.7,22.913,65.782,231.93,341.51,94.684,76.934,31.847,8.9321,26.355,6.8634,18.673,1.6527,32.676,13.972,24.186,1.2261,18.71,2.2751,4.8051,2.2988,0.010677,0.85842,0.069871,54.197,43.553
36,0.29523,3658.7,4505.3,9.3715,26.604,42.476,2699.6,75.597,120.41,0.3578,79.838,47.956,2628.5,25.656,50.74,3095.5,23.262,65.69,232.94,341.83,94.656,77.198,32.234,8.903,26.513,6.7522,18.897,1.6913,33.125,13.806,23.523,1.3598,18.592,2.3126,4.8496,2.3706,0.010677,0.85842,0.069871,54.197,43.553
37,0.29605,3687.3,4541.6,9.3757,26.784,42.643,2701.7,75.415,120.4,0.35966,80.06,50.951,2630.8,25.212,49.751,3097.7,23.272,65.718,235.56,342.05,94.503,77.365,32.234,8.903,26.513,6.7522,18.897,1.6913,33.125,13.806,23.523,1.3598,18.592,2.3126,4.8496,2.3706,0.010677,0.85842,0.069871,54.197,43.553
38,0.25933,3688.9,4530.5,9.3699,26.985,42.25,2702.6,74.712,120.44,0.33663,80.213,49.929,2631.8,26.032,49.71,3098.6,24.426,65.775,233.62,341.94,94.536,77.545,32.381,8.9687,26.081,6.9647,18.702,1.7199,32.94,13.823,23.991,1.2913,18.548,2.2725,4.785,2.2078,0.010677,0.85842,0.069871,54.197,43.553
39,0.26149,3678.3,4540.6,9.2174,27.111,42.321,2702.9,74.241,120.4,0.33866,80.353,50.356,2631.3,25.573,52.156,3100.2,22.667,65.884,233.97,341.54,94.26,77.481,32.381,8.9687,26.081,6.9647,18.702,1.7199,32.94,13.823,23.991,1.2913,18.548,2.2725,4.785,2.2078,0.010677,0.85842,0.069871,54.197,43.553
40,0.24266,3648.9,4490.2,9.3519,27.042,42.255,2702.1,74.742,120.41,0.34011,80.388,48.906,2630.7,24.865,51.251,3098.3,23.913,65.965,234.23,341.7,94.686,77.34,31.949,8.7035,26.517,6.9216,19.124,1.6634,33.284,13.905,24.171,1.2947,18.406,2.2824,4.8397,2.3731,0.020538,0.8318,0.10654,53.779,44.357
41,0.24591,3647.9,4506.6,9.4575,27.171,42.371,2699.2,75.534,120.38,0.34015,80.133,51.189,2627.6,24.392,49.617,3098.1,22.617,66.013,236.14,341.35,94.466,77.092,31.949,8.7035,26.517,6.9216,19.124,1.6634,33.284,13.905,24.171,1.2947,18.406,2.2824,4.8397,2.3731,0.020538,0.8318,0.10654,53.779,44.357
42,0.28589,3663.3,4482.5,9.272,26.582,42.426,2701.0,74.333,120.38,0.34924,80.156,49.79,2630.2,24.29,49.789,3097.4,22.98,66.01,237.91,341.79,94.732,77.445,32.953,8.9552,26.142,6.8021,18.572,1.6913,33.254,13.984,23.935,1.1525,18.622,2.2558,4.8321,2.2099,0.020538,0.8318,0.10654,53.779,44.357
43,0.28472,3658.6,4489.4,9.28,26.992,42.234,2700.2,75.722,120.38,0.35176,80.196,49.979,2629.5,26.145,52.105,3098.2,22.869,66.025,236.7,342.0,94.478,77.394,32.953,8.9552,26.142,6.8021,18.572,1.6913,33.254,13.984,23.935,1.1525,18.622,2.2558,4.8321,2.2099,0.020538,0.8318,0.10654,53.779,44.357
44,0.18428,3686.4,4574.7,9.2227,26.782,42.422,2700.7,75.08,120.42,0.35817,80.263,50.805,2629.9,24.212,51.015,3097.0,22.5,66.06,238.23,342.11,94.703,77.593,32.651,8.9749,26.387,6.6604,18.774,1.6356,33.404,13.668,23.429,1.3436,18.667,2.2501,4.8759,2.4295,0.020538,0.8318,0.10654,53.779,44.357
45,0.18754,3672.0,4547.8,9.3249,26.632,42.326,2699.7,74.681,120.41,0.35766,80.332,49.774,2628.9,25.217,49.054,3095.6,24.429,66.096,236.75,341.59,94.506,77.735,32.651,8.9749,26.387,6.6604,18.774,1.6356,33.404,13.668,23.429,1.3436,18.667,2.2501,4.8759,2.4295,0.004482,0.83651,0.074112,53.804,44.137
46,0.20935,3686.0,4519.7,9.4432,27.086,42.398,2699.1,73.998,120.4,0.32119,80.44,50.519,2627.9,25.55,51.14,3097.4,23.024,66.155,237.76,341.19,94.561,77.421,32.494,8.9007,26.127,6.8248,18.576,1.7092,33.452,13.754,23.515,1.2781,18.704,2.2853,4.7615,2.2985,0.004482,0.83651,0.074112,53.804,44.137
47,0.20786,3696.0,4543.8,9.312,26.627,41.99,2697.8,73.873,120.41,0.32579,80.391,50.338,2626.6,24.762,50.744,3095.5,22.761,66.196,235.9,340.83,94.286,77.267,32.494,8.9007,26.127,6.8248,18.576,1.7092,33.452,13.754,23.515,1.2781,18.704,2.2853,4.7615,2.2985,0.004482,0.83651,0.074112,53.804,44.137
48,0.21981,3695.7,4530.4,9.3756,27.07,41.938,2693.7,74.615,120.4,0.3289,80.113,48.862,2622.2,24.954,49.173,3092.8,22.385,66.171,237.09,340.55,94.583,76.801,32.39,8.9137,26.108,6.961,19.193,1.6527,33.545,13.741,23.918,1.164,18.73,2.2983,4.7954,2.2394,0.004482,0.83651,0.074112,53.804,44.137
49,0.21921,3678.5,4472.8,9.2135,26.632,42.409,2691.9,74.346,120.39,0.32947,79.922,51.226,2620.3,22.764,50.703,3089.9,23.112,66.051,237.96,340.66,94.587,77.159,32.39,8.9137,26.108,6.961,19.193,1.6527,33.545,13.741,23.918,1.164,18.73,2.2983,4.7954,2.2394,0.004482,0.83651,0.074112,53.804,44.137
50,0.2265,3617.5,4488.3,9.3112,26.83,42.3,2693.3,74.878,120.36,0.32801,80.183,50.098,2621.9,26.303,50.595,3090.7,23.577,66.027,236.33,340.34,94.683,77.274,32.186,8.7658,26.365,7.207,18.744,1.6913,33.438,13.905,24.056,1.484,19.064,2.3029,4.7491,2.3044,0.020005,0.82554,0.082569,55.058,43.341
51,0.22612,3635.3,4483.6,9.267,26.57,42.201,2694.2,74.366,120.4,0.32827,80.255,49.383,2622.3,25.32,51.578,3092.2,23.815,66.063,239.4,340.31,94.67,77.505,32.186,8.7658,26.365,7.207,18.744,1.6913,33.438,13.905,24.056,1.484,19.064,2.3029,4.7491,2.3044,0.020005,0.82554,0.082569,55.058,43.341
52,0.24642,3608.9,4505.8,9.3177,27.015,42.063,2698.8,74.976,120.37,0.35092,80.676,49.581,2627.9,24.697,49.598,3094.4,23.514,66.137,236.97,340.1,94.815,78.097,32.767,8.7828,25.903,7.0671,18.717,1.6594,33.022,13.972,23.56,1.1642,19.177,2.2446,4.8375,2.3427,0.020005,0.82554,0.082569,55.058,43.341
53,0.24575,3584.2,4528.2,9.2996,27.124,42.446,2699.9,74.383,120.4,0.3493,80.663,49.975,2628.8,24.116,50.577,3098.3,22.316,66.256,237.54,340.34,94.817,77.28,32.767,8.7828,25.903,7.0671,18.717,1.6594,33.022,13.972,23.56,1.1642,19.177,2.2446,4.8375,2.3427,0.020005,0.82554,0.082569,55.058,43.341
54,0.18696,3620.6,4524.7,9.4191,26.824,42.191,2696.6,73.812,120.35,0.35791,80.249,52.055,2625.3,26.292,50.376,3094.4,22.202,66.222,238.18,340.6,94.896,77.009,31.939,8.7949,26.31,6.759,19.403,1.6931,32.936,13.716,23.804,1.3558,18.191,2.2874,4.835,2.211,0.020005,0.82554,0.082569,55.058,43.341
55,0.18586,3604.4,4529.2,9.2394,26.966,42.371,2694.5,74.799,120.38,0.35731,79.888,48.956,2622.8,25.283,51.353,3092.7,23.021,66.086,236.53,340.23,95.018,76.911,31.939,8.7949,26.31,6.759,19.403,1.6931,32.936,13.716,23.804,1.3558,18.191,2.2874,4.835,2.211,0.028893,0.83512,0.10209,53.491,43.322
56,0.2647,3682.4,4457.9,9.3964,26.792,42.186,2698.3,74.614,120.43,0.32816,80.017,49.271,2626.2,26.36,50.451,3097.7,23.732,66.001,237.82,340.22,94.831,77.419,32.19,8.7626,26.102,6.8511,18.926,1.6877,32.572,13.774,23.539,1.5024,18.372,2.2681,4.9318,2.2812,0.028893,0.83512,0.10209,53.491,43.322
57,0.26463,3678.6,4403.0,9.4492,27.274,42.231,2704.1,73.841,120.47,0.33173,80.5,49.43,2633.0,23.957,50.384,3101.1,22.464,66.004,235.88,340.46,94.527,78.084,32.19,8.7626,26.102,6.8511,18.926,1.6877,32.572,13.774,23.539,1.5024,18.372,2.2681,4.9318,2.2812,0.028893,0.83512,0.10209,53.491,43.322
58,0.24353,3675.7,4475.1,9.4848,27.043,42.158,2704.2,75.192,120.41,0.33132,80.649,51.428,2632.7,24.292,50.122,3102.6,22.852,66.112,235.83,340.25,94.475,77.85,32.328,8.8815,26.498,6.8292,19.005,1.6635,33.13,13.845,23.398,1.1516,18.466,2.2375,4.92,2.2867,0.028893,0.83512,0.10209,53.491,43.322
59,0.24065,3685.3,4463.7,9.4461,27.118,42.878,2701.2,75.48,120.42,0.33351,80.367,49.534,2629.3,23.896,52.665,3101.1,24.005,66.136,235.28,340.49,94.542,77.296,32.328,8.8815,26.498,6.8292,19.005,1.6635,33.13,13.845,23.398,1.1516,18.466,2.2375,4.92,2.2867,0.028893,0.83512,0.10209,53.491,43.322
60,0.22818,3649.5,4512.4,9.3982,27.055,42.7,2700.6,75.159,120.39,0.34223,80.282,50.978,2628.9,25.018,49.873,3098.4,21.811,66.127,237.26,340.89,94.61,77.324,31.999,8.9004,26.484,6.8768,18.755,1.6249,32.7,13.85,23.84,1.515,18.995,2.2238,4.9867,2.3203,0.028149,0.81012,0.097944,53.582,43.783
61,0.22706,3695.3,4470.9,9.3632,26.78,42.595,2697.5,75.192,120.4,0.34595,80.022,50.256,2625.6,25.202,50.582,3095.9,22.952,66.075,234.58,340.27,94.66,76.941,31.999,8.9004,26.484,6.8768,18.755,1.6249,32.7,13.85,23.84,1.515,18.995,2.2238,4.9867,2.3203,0.028149,0.81012,0.097944,53.582,43.783
62,0.26019,3653.7,4510.8,9.3937,26.704,42.731,2697.5,75.423,120.39,0.3395,80.013,49.807,2626.0,25.124,49.419,3096.7,23.921,65.992,237.82,340.41,94.723,77.401,32.392,8.9599,26.433,6.9923,18.847,1.6298,32.98,13.939,23.827,1.1814,18.254,2.2407,4.9012,2.303,0.028149,0.81012,0.097944,53.582,43.783
63,0.2589,3676.9,4491.8,9.3729,26.874,41.971,2701.4,74.475,120.41,0.34685,80.202,50.063,2630.2,27.428,49.017,3100.2,23.257,65.953,237.7,340.55,94.6,77.42,32.392,8.9599,26.433,6.9923,18.847,1.6298,32.98,13.939,23.827,1.1814,18.254,2.2407,4.9012,2.303,0.028149,0.81012,0.097944,53.582,43.783
64,0.22196,3637.4,4505.4,9.3966,26.538,42.005,2703.8,74.878,120.41,0.35093,80.478,48.739,2632.7,25.453,50.607,3101.4,22.462,65.988,236.9,340.89,94.576,77.876,32.361,8.9982,26.078,6.8192,18.655,1.6909,33.055,13.722,23.669,1.1688,18.716,2.2623,4.8207,2.3204,0.028149,0.81012,0.097944,53.582,43.783
65,0.22032,3661.0,4450.7,9.3253,27.087,42.197,2704.1,74.746,120.38,0.35483,80.479,49.824,2632.9,25.743,49.253,3103.1,23.406,66.065,234.53,340.55,94.774,77.531,32.361,8.9982,26.078,6.8192,18.655,1.6909,33.055,13.722,23.669,1.1688,18.716,2.2623,4.8207,2.3204,0.0076727,0.82899,0.11427,53.545,44.792
66,0.22071,3647.0,4521.4,9.3341,27.044,42.212,2704.0,75.468,120.4,0.33056,80.285,49.037,2633.3,24.465,50.196,3103.6,23.208,66.057,233.39,341.06,94.465,77.203,31.632,8.8789,26.724,6.7745,18.385,1.6694,33.077,13.741,24.403,1.1547,19.074,2.2677,4.9022,2.2678,0.0076727,0.82899,0.11427,53.545,44.792
67,0.22134,3681.2,4493.1,9.355,27.306,42.309,2705.1,74.939,120.41,0.32782,80.222,49.315,2633.1,25.771,50.955,3103.4,23.416,65.997,231.72,340.74,94.689,77.459,31.632,8.8789,26.724,6.7745,18.385,1.6694,33.077,13.741,24.403,1.1547,19.074,2.2677,4.9022,2.2678,0.0076727,0.82899,0.11427,53.545,44.792
68,0.29419,3675.8,4523.1,9.522,26.895,42.989,2707.2,73.912,120.41,0.33131,80.303,50.137,2635.9,25.302,48.029,3105.9,22.235,65.967,232.55,340.89,94.383,77.453,31.684,8.8127,26.545,6.9019,18.292,1.6309,32.549,13.818,23.833,1.2487,18.72,2.3187,4.8304,2.3277,0.0076727,0.82899,0.11427,53.545,44.792
69,0.2949,3713.0,4525.7,9.4588,27.106,42.849,2707.5,74.774,120.41,0.32774,80.226,49.814,2635.8,25.366,51.657,3107.6,22.599,65.913,231.44,340.79,94.381,77.59,31.684,8.8127,26.545,6.9019,18.292,1.6309,32.549,13.818,23.833,1.2487,18.72,2.3187,4.8304,2.3277,0.0076727,0.82899,0.11427,53.545,44.792
70,0.29716,3647.6,4540.2,9.3821,26.713,42.332,2710.7,74.929,120.42,0.33911,80.383,49.112,2640.2,24.897,51.23,3107.3,22.596,65.89,233.44,341.68,94.435,77.728,31.932,8.9368,26.133,6.7821,18.408,1.6785,32.237,13.905,23.981,1.3176,18.821,2.2323,4.8523,2.35,0.022087,0.84067,0.098999,52.831,42.59
71,0.29659,3645.5,4535.4,9.4881,26.93,42.392,2708.7,75.456,120.4,0.34138,80.109,49.899,2636.6,24.916,50.16,3108.2,23.01,65.893,231.94,341.31,94.573,76.777,31.932,8.9368,26.133,6.7821,18.408,1.6785,32.237,13.905,23.981,1.3176,18.821,2.2323,4.8523,2.35,0.022087,0.84067,0.098999,52.831,42.59
72,0.2752,3701.1,4516.8,9.561,26.862,42.565,2705.4,74.905,120.37,0.34979,79.709,49.656,2633.0,26.369,48.114,3104.5,22.875,65.772,228.01,341.24,94.454,77.231,32.34,8.7128,26.36,6.8953,18.665,1.6729,32.683,13.879,24.365,1.0319,18.696,2.301,4.7775,2.3808,0.022087,0.84067,0.098999,52.831,42.59
